,urname,svname,rkpo,characterId,adventurename,adventurelevel,resist,physical_defense,magical_defense,weapon,jacket,shoulder,pants,shoes,waist,amulet,wrist,ring,support,magicstone,earring,fusion ring
4113,블래무결,anton,"33,087",764ee02472bd8d33a052ce3fb0dd2928,라이치니,39.0,39.0,35.6,39.4,근원을 삼킨 도,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,옵티컬 컴뱃 글래스,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
4114,여스파찌꺼기,cain,"33,087",8317fcb6c913ae9778daf68330bbde23,세계부자범이,37.0,54.0,31.3,30.0,근원을 삼킨 클로,블루 베릴 아머,오염된 빙석 견갑,압도하는 힘의 하갑,어둠에 삼켜진 돌굽,불변의 부유석 벨트,아토믹 코어 네클레스,골렘의 핵 팔찌,어댑터블 투톤 링,옵티컬 컴뱃 글래스,지상형 : 전술 차륜 드론,눈물이 스민 보석,
4115,경사경조,cain,"33,087",822521894e092a8ef5286f33ed5ab952,디아블로이모탈,41.0,119.0,31.7,28.2,,,,,,,,,,,,,
4116,니얼굴부조화,cain,"33,087",7003e086905047ad04d63d60e5ae3c5d,6목7겹11강,36.0,54.0,31.8,36.4,,,,,,,,,,,,,
4117,항아리배틀,bakal,"33,087",d11fb8b1b6a9d73b0381ec22688350a2,치르치르에디션,40.0,86.0,32.8,29.3,근원을 삼킨 도,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,작은 풀잎의 순수함,뚜렷해지는 소멸된 사념,굴착 강화 파츠,미지의 황금비석,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
4118,ㅎㅇㅅㄱ,prey,"33,087",d913e124b048e358354bffb7e9129a0f,졸려양,39.0,101.0,22.2,31.1,결전의 로드 - 소환사,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,작은 풀잎의 순수함,뚜렷해지는 소멸된 사념,옵티컬 컴뱃 글래스,완성형 동력 제어장치,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
4119,뫙,bakal,"33,087",8ac9bfc8ebc395d717bdf785563aa003,BoyMeetsGirl,39.0,69.0,31.9,33.5,근원을 삼킨 소검,미련이 남은 녹슨 원혼,마그네틱 서치 스캔,옥화의 망령 대퇴갑,과거를 뒤로 한 전진,얼터레이션 다이얼 벨트,아토믹 코어 네클레스,생명이 담긴 가죽 토시,빛을 발하는 생명,죽음을 부르는 관,완성형 동력 제어장치,주인의 각인,화룡 : 타오르는 불의 분노
4120,귄인성,cain,"33,087",9431ee67b8ee47998e2163ee7cf872ff,제갈량,39.0,-41.0,28.1,32.1,,,,,,,,,,,,,
4121,하늘빛큐라소,hilder,"33,087",0c4d68d83e458ece5db9ce2ed353d56b,ButterFly,40.0,44.0,29.6,34.2,,,,,,,,,,,,,
4122,Lampo,siroco,"33,087",14a94525bfef8d68a73ba3de19a6a5a2,시곱,41.0,129.0,37.0,33.3,,,,,,,,,,,,,
