,urname,svname,rkpo,characterId,adventurename,adventurelevel,resist,physical_defense,magical_defense,weapon,jacket,shoulder,pants,shoes,waist,amulet,wrist,ring,support,magicstone,earring,fusion ring
1680,GoldenHour,casillas,"33,217",3d73f4f9c9ea0239f0b17cdc3892e6f1,지금아이유,38.0,69.0,31.3,33.1,,,,,,,,,,,,,
1681,고스메이드,prey,"33,217",4d96af02240db846fe13d0e47393780d,LvFive,40.0,148.0,31.4,26.9,결전의 빗자루 - 인챈트리스,블루 베릴 아머,주체할 수 없는 낡은 규칙,엔트 정령의 하의,내딛는 용기,숲속의 마녀 벨트,블루 베릴 네클레스,엔트 정령의 팔찌,어댑터블 투톤 링,굴착 강화 파츠,숲속의 마녀 정령석,시각의 관점,
1682,b1ade,anton,"33,217",5e65853d9094c56fd8de75046dbfef46,숙제머신,37.0,69.0,29.7,34.9,,,,,,,,,,,,,
1683,초월의드릴,cain,"33,217",674ed665526e4d94e11340c310abe0d4,던전앤헌터,33.0,145.0,43.0,42.0,근원을 삼킨 도,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
1684,`SD,cain,"33,217",55b8c5a47379687f0469fd4969e22701,공유장군,42.0,144.0,36.4,36.9,근원을 삼킨 낫,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,절망의 발소리,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,잊혀진 기록,인력의 법칙,금룡 : 무한한 빛의 결계
1685,블랙웨딩,hilder,"33,217",d8178a5d28a2a388464bf4c788260138,오빠가하라해서했,26.0,84.0,40.8,39.1,결전의 대검 - 데몬슬레이어,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,완성형 동력 제어장치,폭풍을 삼킨 에너지,천계 연합군 : 밝게 빛나는 희망
1686,수원역남크루,cain,"33,217",c22f79e06ecc6fa569b1df0636e9fdd6,수원역모험단,39.0,14.0,34.0,30.2,결전의 십자가 - 크루세이더(남),얼티밋 제너레이터,주체할 수 없는 낡은 규칙,언리밋 사이버네틱,내딛는 용기,쿨링 서포트 벨트,잠겨진 영역,생명이 담긴 가죽 토시,어댑터블 투톤 링,굴착 강화 파츠,생명이 깃든 초록빛 액체,시각의 관점,흑룡 : 끝없는 암흑의 굴레
1687,웅제폐월수화,prey,"33,216",c9d39edb7408b1d2a471092cbb2246ad,김레인,39.0,24.0,25.9,33.9,,,,,,,,,,,,,
1688,버프못쓴다고,cain,"33,216",ac4ad9df90748518afe739e397333932,거짓부렁이,40.0,44.0,29.2,27.6,,,,,,,,,,,,,
1689,팔라닉,hilder,"33,216",1278e264d1e61e474bc834de44c3b8ec,오렌지닉,39.0,109.0,39.6,36.3,,,,,,,,,,,,,
1690,아지엘레,diregie,"33,216",0ffcf173e60c7552f689a85315dcdecf,아지시리즈,43.0,76.0,27.1,28.8,근원을 삼킨 배틀액스,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,무뎌지는 둔화된 변화,뚜렷해지는 소멸된 사념,용살자의 증표 - 용골 뿔피리,용살자의 증표 - 용심 가공석,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
1691,iys소울,cain,"33,216",0b0399092907a6329323874821a53c98,iys군단,41.0,69.0,36.6,42.0,결전의 도 - 소울브링어,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,잿빛의 묘상석,아크로매틱 룸버스,흑룡 : 끝없는 암흑의 굴레
1692,웨펀하는이유,cain,"33,215",9a0c34796b66f7fc1cd6614aab81970d,원효대사해산물,36.0,85.0,28.5,29.1,,,,,,,,,,,,,
1693,후호호이,cain,"33,215",03b5c808c5dc201e02be8e5e0cfa505a,로퀄,44.0,116.0,32.1,29.1,결전의 도 - 아수라,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,작은 풀잎의 순수함,뚜렷해지는 소멸된 사념,굴착 강화 파츠,거짓 속의 거짓,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
1694,렌디비,cain,"33,215",c7e5bf7122350f3779aeeece25322ad4,ryangbna,39.0,161.0,20.7,26.9,,,,,,,,,,,,,
1695,유빈이엄마!,cain,"33,215",d8e70084be5fe85f878ebdf3d42489cb,박유빈가족,40.0,104.0,37.3,34.3,,,,,,,,,,,,,
1696,1픽볼리베어,hilder,"33,215",dadab7b3b3918d5752405d4906699342,1픽시리즈,38.0,149.0,37.0,32.2,,,,,,,,,,,,,
1697,F컵버퍼,cain,"33,215",addb4d34898c3d37c60ca6f0fb7c560b,F컵보다좋은것,29.0,34.0,35.3,31.4,,,,,,,,,,,,,
1698,익설#3142,cain,"33,215",a7410a511403357ca2170c3fcf437a00,최익설,36.0,106.0,31.8,27.0,,,,,,,,,,,,,
1699,문성진,bakal,"33,215",274ccd4154928803d0a50e526a60ba10,망우산,37.0,151.0,23.0,27.6,결전의 창 - 배틀메이지,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,무뎌지는 둔화된 변화,서드 스페이드 - 데스,굴착 강화 파츠,거짓 속의 거짓,폭발형 : 소형 전술 플레어,
1700,처반시해,diregie,"33,215",2cfb604a5ec1630150b82089ae6a3fcc,금여우,40.0,44.0,31.4,32.9,,,,,,,,,,,,,
1701,빠와검귀,prey,"33,215",fc751bdd1dc0501996f57bd69a7b4249,빠와,40.0,59.0,30.5,37.5,,,,,,,,,,,,,
1702,멘시스,anton,"33,215",dd58017ec8107007f0d5517cf50dd3a1,이오셰프카진료소,39.0,110.0,25.9,33.6,근원을 삼킨 차크라 웨펀,흙으로 빚은 자연,피어나는 자연의 삶,혼돈을 두른 장막,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,작은 풀잎의 순수함,뚜렷해지는 소멸된 사념,굴착 강화 파츠,잊혀진 기록,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
1703,테븜,diregie,"33,215",e1d8d42d92b9b7a8b4ebc76ee7843324,테컨,40.0,79.0,35.0,41.3,결전의 빗자루 - 마도학자,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
1704,성녀투사,cain,"33,215",ed380b66ec9f654e7641fc752b13a0a0,투사패밀리,41.0,159.0,40.8,38.7,,,,,,,,,,,,,
1705,메르시우,cain,"33,215",86480d7cd4a2053e44fd480622cd60c0,레비아단,39.0,139.0,39.8,36.3,,,,,,,,,,,,,
1706,Fernanda,cain,"33,215",858377ed3edd798d5761c59ea093d3e8,캄페오네스,40.0,79.0,32.9,34.6,,,,,,,,,,,,,
1707,도허티,casillas,"33,215",74d391ba799b1169d1cf931632e88b40,실바,37.0,149.0,24.6,29.0,,,,,,,,,,,,,
1708,사암주극,diregie,"33,215",6c63a124812a00fdf38001b93758fa7e,장난감연구소,37.0,87.0,35.4,33.4,,,,,,,,,,,,,
1709,히트맨동훈이,bakal,"33,215",66b5ef36851536b5d93ee44c82176ce5,동훈이의모험,31.0,4.0,37.8,39.0,결전의 장도 - 히트맨,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
1710,요거트베리,anton,"33,215",54a212ef568775bf2e20f259e5574af7,여보게웃게,38.0,34.0,33.3,29.2,,,,,,,,,,,,,
1711,피티큐텐,cain,"33,214",53590819f311d52f9234acb0baa95b19,엔에프에이,31.0,66.0,35.0,38.9,,,,,,,,,,,,,
1712,러브메이커*,prey,"33,214",6abfbc6fa7cd635fa197e75df9793ab0,라슈카,39.0,193.0,35.5,30.1,,,,,,,,,,,,,
1713,DxPxx,cain,"33,214",a85bf59257eb580176258c63ed244833,LoPhoBia,39.0,54.0,32.3,29.2,,,,,,,,,,,,,
1714,소시지야차,prey,"33,214",bb2f3e5755f8550d934459f0eb05b39f,소시지들,40.0,89.0,30.0,33.8,,,,,,,,,,,,,
1715,[진:어썰트],diregie,"33,214",b8758bafac185f0f6793d2a8e8946a2d,음향인,39.0,59.0,29.3,29.9,,,,,,,,,,,,,
1716,원딜호소인,cain,"33,214",1462c6b04a6f2feac1c87111292e9d50,로레인,32.0,54.0,35.1,36.3,,,,,,,,,,,,,
1717,화성경찰서,diregie,"33,214",463acfb7946c970fb1842eb895f05a3a,삼성물산,39.0,24.0,31.6,29.8,,,,,,,,,,,,,
1718,회심의넨가드,casillas,"33,214",38eefc57860ed7e305df78ddaae3cedc,명문집안,42.0,48.0,26.6,30.0,,,,,,,,,,,,,
1719,morrigan,anton,"33,214",4d6af2c501f05d5bdbf76a79d925cfdb,선상의호라이즌,33.0,89.0,34.7,34.0,,,,,,,,,,,,,
1720,러브라이브☆,siroco,"33,214",9d0b12c008fb82520ee3cc872f242da4,단당류포도당,34.0,34.0,40.8,40.8,결전의 선현궁 - 뮤즈,고귀한 신의,주체할 수 없는 낡은 규칙,언리밋 사이버네틱,내딛는 용기,쿨링 서포트 벨트,약동하는 생명의 고동,생명이 담긴 가죽 토시,뚜렷해지는 소멸된 사념,굴착 강화 파츠,블루 베릴 젬스톤,시각의 관점,흑룡 : 끝없는 암흑의 굴레
1721,해규짱,cain,"33,214",a0a2b4535b884716edf6715b39551375,해규의아라드생활,39.0,69.0,25.7,30.8,,,,,,,,,,,,,
1722,눈떠보니이계,siroco,"33,214",8984feb900a4d0ee6f8e56f4cc7f17eb,쑤맨,38.0,89.0,35.4,33.6,,,,,,,,,,,,,
1723,명왕비천,cain,"33,214",8f3a9b050dbc0379d25b5e9ac4b65722,사막의군주,7.0,59.0,27.3,29.3,,,,,,,,,,,,,
1724,검귀협회원,cain,"33,214",94fef1f3c86de4b9f0a72d26e01e1344,쩡미나라병찬왕자,36.0,86.0,30.0,26.7,근원을 삼킨 도,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,무뎌지는 둔화된 변화,서드 스페이드 - 데스,굴착 강화 파츠,거짓 속의 거짓,폭발형 : 소형 전술 플레어,
1725,BananaSalad,cain,"33,214",d89068ec3bcca04dc8f431884b71e8a5,AssortedSalad,39.0,94.0,29.5,26.8,근원을 삼킨 도,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,작은 풀잎의 순수함,서드 스페이드 - 데스,굴착 강화 파츠,거짓 속의 거짓,폭발형 : 소형 전술 플레어,
1726,신선한고등어,cain,"33,214",d8ad49d4ec0fccedb0048cec41cf912d,갈치두번머겅,41.0,56.0,40.8,37.6,,,,,,,,,,,,,
1727,꽃버프,cain,"33,214",222e153c09e57789a12694c8fa9ffd46,Pages,40.0,44.0,40.2,36.7,결전의 십자가 - 크루세이더(남),고귀한 신의,주체할 수 없는 낡은 규칙,지치지 않는 여정의 하의,내딛는 용기,쿨링 서포트 벨트,폭룡왕의 지배 - 공포,생명이 담긴 가죽 토시,어댑터블 투톤 링,굴착 강화 파츠,어둠을 먹는 심장,시각의 관점,
1728,홍버퍼,anton,"33,214",20203384fd537f6ab3dacdd35f9c3e55,한번해보겟읍니다,39.0,99.0,32.4,28.4,,,,,,,,,,,,,
1729,☆전기넨마☆,bakal,"33,214",2b13aa96b09ab2c337ce8d48445ea27d,진실의거인,44.0,64.0,21.6,30.6,,,,,,,,,,,,,
1730,극혼검술,hilder,"33,214",f8d14a6944bf51b51954a5e884c602e9,내총은3,22.0,129.0,38.8,42.0,근원을 삼킨 도,리버시블 레더 코트,아픔을 감싸는 위엄,언리밋 사이버네틱,엑셀러레이터,파워 플랜트,폭룡왕의 지배 - 공포,억제된 마력의 팔찌,어댑터블 투톤 링,무모하지만 합리적인 작전,승리가 약속된 시간,폭풍을 삼킨 에너지,
1731,sino1,cain,"33,214",f3d4e4b1b3cb45f94230b03d34a607f3,sinoi,37.0,231.0,30.1,31.1,,,,,,,,,,,,,
1732,적혈루_리벨,cain,"33,214",e21303deac57e541a114b93605f3554d,적혈루수,45.0,89.0,29.0,33.9,,,,,,,,,,,,,
1733,Irellias,cain,"33,213",fbd0acbe1f99a94846298a1cea166747,무서운두더지들,31.0,39.0,28.2,32.3,,,,,,,,,,,,,
1734,엘바네오,cain,"33,213",e3de97407445993d3bef3f8c5339c6d1,홀지,37.0,4.0,24.5,32.9,근원을 삼킨 로드,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
1735,남성애자,prey,"33,213",f4b4e08fa4d8f3e785b4f8912db80932,황홀한빔,40.0,34.0,27.9,29.7,,,,,,,,,,,,,
1736,Manito3,cain,"33,213",8f0fd6cce525645c464aef71f807eb95,laximaoxiantuan,38.0,217.0,26.0,25.5,근원을 삼킨 도,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,일렉트릭 프루프 부츠,익스펜션 서플라이 벨트,올곧은 자의 이념,폭룡왕의 지배 - 무력,서드 스페이드 - 데스,용살자의 증표 - 용골 뿔피리,거짓 속의 거짓,인력의 법칙,천계 연합군 : 밝게 빛나는 희망
1737,남원년,cain,"33,213",19085f0de69434fc57dbd220a8ed1d69,탐폰,39.0,131.0,16.2,26.1,,,,,,,,,,,,,
1738,竹內まりや;;,cain,"33,213",03e0b9cf1633a833ecf56ea8e166f03c,용사들아,40.0,126.0,25.8,26.1,,,,,,,,,,,,,
1739,세인트파더,siroco,"33,213",036a3e88b524e41831cd265c197f82da,트립가든,42.0,45.0,45.1,43.6,근원을 삼킨 십자가,고귀한 신의,주체할 수 없는 낡은 규칙,언리밋 사이버네틱,내딛는 용기,쿨링 서포트 벨트,폭룡왕의 지배 - 공포,생명이 담긴 가죽 토시,뚜렷해지는 소멸된 사념,드러나는 흐릿한 지식,자연에 녹아드는 이슬,시각의 관점,흑룡 : 끝없는 암흑의 굴레
1740,엘렌켈러,prey,"33,213",0ae1ca2b11723195016da72188cfc17f,잿빛구름,38.0,189.0,17.3,27.6,,,,,,,,,,,,,
1741,.잔두,cain,"33,213",6b3be9ef716e5b57ea458f3b0c23160d,지응이네,35.0,74.0,29.1,27.2,,,,,,,,,,,,,
1742,하츠라이,diregie,"33,213",62c1ab7228170a187bd632e5c0757a88,아라드검신협회,40.0,54.0,32.8,36.4,,,,,,,,,,,,,
1743,족맹구,prey,"33,213",5afcff722407646dc2666f906808e754,몸딴,38.0,89.0,33.3,30.6,,,,,,,,,,,,,
1744,뀨뀨솬븜,cain,"33,213",61e7578c76c0d8a0b1ff3ff6b6039014,귀여운뀨뀨몬,37.0,111.0,22.1,31.0,,,,,,,,,,,,,
1745,돔현,cain,"33,213",a57d25eefe6e82f5309d281b04d0dcb8,고아원출신,18.0,89.0,35.0,33.0,,,,,,,,,,,,,
1746,혼속,hilder,"33,213",46dae4696ac262e9033a22eae0b26963,혼색,39.0,44.0,37.1,38.9,근원을 삼킨 토템,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
1747,방깍용,diregie,"33,213",48739576140ded6a06993416f72c6e6e,ReStrat,39.0,104.0,27.5,29.8,결전의 너클 - 넨마스터(여),흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,솔저 호너 네클리스,무뎌지는 둔화된 변화,뚜렷해지는 소멸된 사념,용살자의 증표 - 용골 뿔피리,어둠을 먹는 심장,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
1748,잔혹한격노,cain,"33,213",4f70de150ccf45fa26b5d2b3649383c7,던전앤딜러,39.0,24.0,32.9,30.1,,,,,,,,,,,,,
1749,끈권,cain,"33,213",3d211a60c54d21f5f67dc7c121785de3,YooJaeGeun,36.0,198.0,43.5,43.8,근원을 삼킨 권투글러브,엔트 정령의 상의,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,에너지 서치 링,엔트 정령의 성배,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
1750,자수라312,cain,"33,213",275f61407a550d4e870ce0f21f61fe09,가장풍성한한해,41.0,145.0,34.1,32.9,결전의 도 - 아수라,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,작은 풀잎의 순수함,뚜렷해지는 소멸된 사념,굴착 강화 파츠,완성형 동력 제어장치,황혼의 성단,금룡 : 무한한 빛의 결계
1751,원갑이28호,casillas,"33,213",27652d3c30912cc3171e6531d93b6029,원갑이들,38.0,101.0,28.2,30.1,근원을 삼킨 완드,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,폭룡왕의 지배 - 무력,뚜렷해지는 소멸된 사념,굴착 강화 파츠,어둠을 먹는 심장,폭발형 : 소형 전술 플레어,
1752,퀘랑,anton,"33,212",075c5fa516c15028051eeee6adf3a811,ㅤㅅㅏㅍ린이,36.0,44.0,31.1,32.9,,,,,,,,,,,,,
1753,이빨로물어요,cain,"33,212",fe36eca5c2820949078fb5f4dd5d867b,Klare,39.0,59.0,29.4,30.9,,,,,,,,,,,,,
1754,/랜서/,hilder,"33,212",e2ebff2b45c9f13dca52cae6831955f0,스공이단,39.0,49.0,26.3,32.8,근원을 삼킨 투창,천지를 흔드는 석갑,오염된 빙석 견갑,압도하는 힘의 하갑,소망을 향한 움직임,불변의 부유석 벨트,고양된 분노의 목걸이,골렘의 핵 팔찌,어댑터블 투톤 링,옵티컬 컴뱃 글래스,저주받은 마음,영원을 끝낼 오랜 염원,흑룡 : 끝없는 암흑의 굴레
1755,『眞AtOmIc』,cain,"33,212",62f510321eed2cf88ab3f40c5be59695,raytias,23.0,54.0,28.2,34.0,근원을 삼킨 투창,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,완성형 동력 제어장치,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
1756,진공수라인,hilder,"33,212",6448afb1529d602193f9c5532df98503,야미,41.0,29.0,21.5,27.0,,,,,,,,,,,,,
1757,멜론퀸,cain,"33,212",6d43acf4bd3915a84b70e47b295bca34,위대한솔로,41.0,44.0,32.5,36.2,,,,,,,,,,,,,
1758,세라빵세,diregie,"33,212",6d2487cce33291c24795d3a9b5aae695,빵세의모험,37.0,117.0,35.5,32.3,,,,,,,,,,,,,
1759,야룽개,cain,"33,212",560be6d0a45945c58376f4ffccd6c018,인생글러먹음,40.0,34.0,32.4,28.5,결전의 십자가 - 크루세이더(여),얼티밋 제너레이터,주체할 수 없는 낡은 규칙,언리밋 사이버네틱,내딛는 용기,쿨링 서포트 벨트,폭룡왕의 지배 - 공포,생명이 담긴 가죽 토시,어댑터블 투톤 링,굴착 강화 파츠,생명이 깃든 초록빛 액체,시각의 관점,흑룡 : 끝없는 암흑의 굴레
1760,롱치킨버거○,cain,"33,212",7d23d422ce9a9da5edfb671b3ad39ec7,몇기냐,39.0,89.0,28.6,35.3,근원을 삼킨 투창,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,옵티컬 컴뱃 글래스,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
1761,쿠폰도둑이야,cain,"33,212",8730bea2526081c6ac4505cb323cb748,Nueong,37.0,94.0,31.4,32.6,,,,,,,,,,,,,
1762,멱살따울,hilder,"33,212",8835dd3c8ec82c4cf4b5d4a18f473e37,따울,45.0,29.0,27.2,29.8,,,,,,,,,,,,,
1763,군데군데,cain,"33,212",888432320aaef5c722caa0fce95f197f,군,38.0,107.0,33.2,39.6,근원을 삼킨 너클,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,옵티컬 컴뱃 글래스,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
1764,로빈소마,prey,"33,212",2bdbb97585c360a02a5a37cf30fe72b0,로빈s,40.0,126.0,26.4,29.6,결전의 소검 - 소드마스터,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,작은 풀잎의 순수함,뚜렷해지는 소멸된 사념,용살자의 증표 - 용골 뿔피리,자연에 녹아드는 이슬,폭발형 : 소형 전술 플레어,
1765,Grand§,casillas,"33,211",2fa1b1893b9fcb1eb2493a1b769e86cd,Grand,42.0,171.0,23.4,32.2,근원을 삼킨 소검,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,작은 풀잎의 순수함,뚜렷해지는 소멸된 사념,생명이 담긴 잔,자연에 녹아드는 이슬,영원을 새긴 바다,금룡 : 무한한 빛의 결계
1766,달ㅂit,cain,"33,211",273c61af94010f7a80d1fcba133b1215,Ziin,43.0,183.0,25.4,31.0,광폭화된 전의의 리볼버,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,파워 네비게이트 팩,뚜렷해지는 소멸된 사념,옵티컬 컴뱃 글래스,거짓 속의 거짓,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
1767,유제석,cain,"33,211",265af274f4481a7d4a1b73846bb5ad30,홈텍스,37.0,69.0,29.1,30.9,,,,,,,,,,,,,
1768,디엔드줘,casillas,"33,211",739b543af720d504827c2d656ed8a10e,모험해줄까요,38.0,116.0,25.1,30.3,결전의 단검 - 로그,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,작은 풀잎의 순수함,뚜렷해지는 소멸된 사념,굴착 강화 파츠,거짓 속의 거짓,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
1769,친절한뮤즈님,cain,"33,211",72caaf2200d0216f4d10f01e572485b0,ahn2e,40.0,76.0,31.7,35.7,,,,,,,,,,,,,
1770,김추야,casillas,"33,211",3d211421d357fe6c6774561abb708a69,Memorialing,37.0,93.0,37.2,36.0,근원을 삼킨 대검,리버시블 레더 코트,매니퓰레이션,깨지지 않는 빛바랜 신념,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,옵티컬 컴뱃 글래스,완성형 동력 제어장치,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
1771,Parade.,cain,"33,211",476f4f1bef772b832e5b76612168f628,죽여뵐랑,40.0,24.0,25.4,34.3,,,,,,,,,,,,,
1772,기영상도,hilder,"33,211",9875fa4bea9b92feeff286df1e6663b4,밤의대통령,38.0,104.0,25.7,32.0,,,,,,,,,,,,,
1773,약근,cain,"33,210",9c0b72fdad7a9b16db2b9ccab2381728,쥬룩,37.0,156.0,17.3,27.1,근원을 삼킨 염주,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,세컨드 스페이드 - 어쏘러티,어댑터블 투톤 링,용살자의 증표 - 용골 뿔피리,미지의 황금비석,아크로매틱 룸버스,
1774,망할서버같은,cain,"33,210",8e6efcae9cd49dab5c22cf72268ae871,ForDreaming,37.0,14.0,34.1,35.8,,,,,,,,,,,,,
1775,독자만,cain,"33,210",cc161cdb18815d06415ab720e9090c00,동자만,35.0,-6.0,31.0,30.8,,,,,,,,,,,,,
1776,안녕세라핌4,casillas,"33,210",bdcb0c0e68c7fde2f88b8ff67aad4984,꿈꾸는희망,40.0,34.0,38.3,34.8,결전의 십자가 - 크루세이더(여),얼티밋 제너레이터,주체할 수 없는 낡은 규칙,언리밋 사이버네틱,내딛는 용기,쿨링 서포트 벨트,잠겨진 영역,생명이 담긴 가죽 토시,어댑터블 투톤 링,굴착 강화 파츠,생명이 깃든 초록빛 액체,시각의 관점,
1777,토막세라핌,bakal,"33,210",bbc97a75567b81fd1bd148191d2498f0,토막모험단,43.0,74.0,34.8,31.2,결전의 십자가 - 크루세이더(여),고귀한 신의,주체할 수 없는 낡은 규칙,언리밋 사이버네틱,엑셀러레이터,쿨링 서포트 벨트,잠겨진 영역,생명이 담긴 가죽 토시,어댑터블 투톤 링,블루 베릴 퍼퓸,생명이 깃든 초록빛 액체,시각의 관점,흑룡 : 끝없는 암흑의 굴레
1778,살라고잡는다,casillas,"33,210",ba38b400175f30bf672e0b5eb5055496,서브제로6mg,39.0,71.0,32.0,26.4,결전의 통파 - 그래플러(여),흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,구속된 자유,서드 스페이드 - 데스,찰랑이는 생명수,거짓 속의 거짓,황혼의 성단,
1779,민첩한데,cain,"33,210",b878e7628d56c7293ddb5199a3c254fe,천원,40.0,54.0,35.8,33.3,,,,,,,,,,,,,
1780,언젠간분간지,cain,"33,210",b37addfdf6467ae6b5894d132648c0f8,돈돈스키,39.0,139.0,27.1,31.3,,,,,,,,,,,,,
1781,염제는켄시로,hilder,"33,210",a563c1475c6e7f94aa63d1160de01158,레전드전설켄시로,30.0,99.0,25.1,33.5,,,,,,,,,,,,,
1782,0에클레어0,hilder,"33,210",afd672bbd26624bde33d3390a0d358ae,0디저트파티0,40.0,145.0,39.3,42.3,,,,,,,,,,,,,
1783,검귀박치기,bakal,"33,209",a2225c097c2211e59b5e215ba2557035,박치기패밀리,40.0,121.0,39.4,43.8,근원을 삼킨 도,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,블루 베릴 퍼퓸,승리가 약속된 시간,폭풍을 삼킨 에너지,
1784,Derumo,cain,"33,209",2eadb9879c39543f45b49469ea867b9f,Derusu,35.0,69.0,28.2,32.6,,,,,,,,,,,,,
1785,하리다,bakal,"33,209",176e9b6af90a4e5e6a6e98bc149bd4ac,한김광부단,43.0,89.0,32.2,36.6,,,,,,,,,,,,,
